Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Colin Castleton,24,3TM,26,122,28,8,10,23,123
Branden Carlson,25,OKC,32,54,14,5,21,7,122
Kevin Love,36,MIA,23,94,22,15,4,14,122
Isaiah Wong,24,CHO,20,32,28,11,0,18,120
Josh Minott,22,MIN,46,47,18,15,12,11,119
Jared Rhoden,25,2TM,14,42,16,10,2,9,118
Robert Williams,27,POR,20,118,21,13,33,17,116
Maxwell Lewis,22,2TM,28,55,19,9,7,14,116
Dariq Whitehead,20,BRK,20,29,12,6,1,15,114
Dwight Powell,33,DAL,55,118,55,18,21,18,114
Baylor Scheierman,24,BOS,31,65,33,17,2,12,113
John Konchar,28,MEM,46,151,42,30,14,16,112
Matisse Thybulle,27,POR,15,52,28,33,9,13,112
Patty Mills,36,2TM,29,22,26,13,3,17,111
Damion Baugh,24,CHO,15,50,56,15,2,31,109
Drew Timme,24,BRK,9,65,20,4,1,15,109
Jaden Springer,22,2TM,43,58,33,24,4,16,109
Torrey Craig,34,2TM,26,73,17,8,12,8,108
Taj Gibson,39,CHO,37,120,21,9,18,25,107
Oscar Tshiebwe,25,UTA,14,122,9,13,1,10,107
Cam Spencer,24,MEM,25,30,34,9,1,6,106
Jalen Hood-Schifino,21,2TM,15,27,37,5,7,18,106
Cam Reddish,25,LAL,33,66,22,33,10,12,105
Johnny Furphy,20,IND,50,71,19,18,11,12,103
Maxi Kleber,33,DAL,34,95,43,9,17,23,103
Pat Spencer,28,GSW,39,46,48,14,3,18,98
Jericho Sims,26,2TM,53,197,33,10,19,33,98
Jordan McLaughlin,28,2TM,46,30,51,16,1,16,98
Trey Jemison,25,2TM,38,105,16,9,15,24,95
Reece Beekman,23,2TM,36,39,63,33,2,21,93
Christian Koloko,24,LAL,37,92,16,8,16,12,90
Mitchell Robinson,26,NYK,17,101,13,16,18,10,87
Dru Smith,27,MIA,14,36,23,21,6,17,87
Lester Quiñones,24,2TM,13,19,24,3,2,14,86
Elfrid Payton,30,2TM,24,79,166,24,11,59,85
Damion Lee,32,PHO,25,20,11,6,0,10,83
Jordan Walsh,20,BOS,52,69,19,12,11,17,82
Tyler Kolek,23,NYK,41,27,70,12,4,18,81
Johnny Davis,22,WAS,34,38,11,15,6,7,80
MarJon Beauchamp,24,3TM,35,44,11,4,1,15,79
Jaylen Martin,21,2TM,16,44,17,9,0,12,78
Kobe Brown,25,LAC,40,65,24,7,4,12,77
Alex Reese,25,2TM,15,47,4,10,10,6,76
Moses Brown,25,2TM,13,44,2,6,4,11,76
Lamar Stevens,27,MEM,17,38,8,5,3,10,74
Alex Len,31,2TM,46,95,38,9,21,20,74
JT Thor,22,2TM,20,48,6,8,9,9,71
Tristan Thompson,33,CLE,40,134,24,2,11,14,69
Marcus Bagley,23,PHI,10,70,10,9,12,7,67
Jaylen Nowell,25,NOP,8,20,18,1,4,8,67
Tyler Smith,20,MIL,23,25,4,3,4,8,67
Adam Flagler,25,OKC,37,27,12,8,3,4,65
Jeenathan Williams,25,HOU,20,13,9,8,4,14,65
Bronny James,20,LAL,27,18,22,9,3,13,62
De'Anthony Melton,26,GSW,6,20,17,7,2,10,62
Tony Bradley,27,IND,14,42,6,2,9,5,61
Markelle Fultz,26,SAC,21,20,27,10,2,15,61
Cole Swider,25,2TM,10,27,3,4,2,4,59
Bruno Fernando,26,TOR,17,51,18,4,9,14,58
Dario Šarić,30,DEN,16,50,23,7,1,15,56
Markieff Morris,35,2TM,15,23,21,2,3,5,56
Tyson Etienne,25,BRK,7,9,12,3,1,8,55
Killian Hayes,23,BRK,6,18,31,4,4,9,54
Drew Peterson,25,BOS,25,40,13,5,2,8,54
Kobe Bufkin,21,ATL,10,21,17,3,2,8,53
Garrett Temple,38,TOR,28,29,31,17,2,10,53
Chuma Okeke,26,2TM,9,47,15,5,4,3,53
Patrick Baldwin Jr.,22,2TM,24,25,3,3,2,5,53
Oshae Brissett,26,PHI,6,22,4,4,3,8,52
